service_name,provider_name,care_type,organisation_type,address,suburb,postcode,latitude,longitude,source_note
CCSSCI Eastern Home Care,Chinese Community Social Services Centre Limited,Home Care,Charitable,56-60 RUTLAND ROAD,Box Hill,3128,-37.8204339999999,145.127657999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Enrich Living Pty Ltd - VIC East Metro Region,MyHomecare Pty Ltd,Home Care,Private Incorporated Body,"Level 3, Building and Business District, 2107-2125 Dandenong",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Weary Dunlop Retirement Village,Ryman Aged Care (Australia) Pty Ltd,Residential,Private Incorporated Body,242 Jells Road,Wheelers Hill,3150,-37.911717,145.188484999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Mercy Home & Community Care - Yarra Ranges,Mercy Aged and Community Care Ltd,Home Care,Charitable,259 Jasper Road,Mckinnon,3204,-37.912036,145.042585,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
"HCR - Home Care Packages, Eastern Metropolitan",Argent Nominees Pty Ltd,Home Care,Private Incorporated Body,"Level 3, 2107 Dandenong Road",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
"HCR - Home Care Packages, Southern Metropolitan",Argent Nominees Pty Ltd,Home Care,Private Incorporated Body,"Level 3, 2107 Dandenong Road",Clayton,3168,-37.9220529999999,145.140052999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages 5 (Southern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Nellie Melba Retirement Village,Ryman Aged Care (Australia) Pty Ltd,Residential,Private Incorporated Body,2 Collegium Avenue,Wheelers Hill,3150,-37.9048889999999,145.164659,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Home Care Packages - Loddon-Mallee,KinCare Health Services Pty Ltd,Home Care,Charitable,"Suite 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.900072,145.131138999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Caulfield Horizons Care Community,DPG Services Pty Ltd,Residential,Private Incorporated Body,6-8 Northcote Avenue,Caulfield North,3161,-37.8767959999999,145.024124,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Monash Health Community Aged Care Packages,Monash Health,Home Care,State Government,51 Buckingham Avenue,Springvale,3171,-37.952596,145.151083999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
KinCare Vic Gippsland,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
KinCare Vic Grampians,KinCare Health Services Pty Ltd,Home Care,Charitable,"Unit 26, 270 Ferntree Gully Road",Notting Hill,3168,-37.9000249999999,145.130190999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Calvary The Highbury,Calvary Aged Care Limited,Residential,Charitable,684 Highbury Road,Glen Waverley,3150,-37.862515,145.171900999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Oakleigh Manor Care Community,DPG Services Pty Ltd,Residential,Private Incorporated Body,1055 Centre Road,Oakleigh South,3167,-37.9243499999999,145.086638999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Regis Home Care Eastern Metro,Regis Aged Care Pty Ltd,Home Care,Private Incorporated Body,Milpara 220 Middleborough Road,Blackburn South,3130,-37.838011,145.138081999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Tianshi Community Care Trust Trading as TSC Home and Community Care,Angels Health Service Australia Pty Ltd,Home Care,Private Incorporated Body,"Suite 7, 10-12 Prospect Street",Box Hill,3128,-37.818109,145.118883,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Just-for-u,JFU Job Seek Pty Ltd,Home Care,Private Incorporated Body,"OFFICE 202, 13-15 CHESTERVILLE STREET",Cheltenham,3192,-37.960774,145.056338,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
STRC Southern Metro,Royal District Nursing Service Limited,Short-Term Restorative Care (STRC),Charitable,"Level L1, ATT PACKAGED CARE, 347 Burwood Highway",Forest Hill,3131,-37.854112,145.166018,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
CCSSCI Chinese Restorative Care,Chinese Community Social Services Centre Limited,Short-Term Restorative Care (STRC),Charitable,56-60 RUTLAND ROAD,Box Hill,3128,-37.8204339999999,145.127657999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Accommodation and Care Solutions,Accommodation and Care Solutions Pty Ltd,Home Care,Private Incorporated Body,1 avoca Street,Highett,3190,-37.954534,145.03218,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Prestige Inhome Care,Prestige Inhome Care Pty Ltd,Home Care,Private Incorporated Body,"SUITE 101, LEVEL 1, 1 COCHRANES ROAD",Moorabbin,3189,-37.9426109999999,145.063508,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Local Guardians,Local Guardians Pty Ltd,Home Care,Private Incorporated Body,18 DIXON STREET,Malvern,3144,-37.861983,145.037426,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Beata Homecare Pty Ltd,Beata Homecare Pty Ltd,Home Care,Private Incorporated Body,"Unit 1, 37-39 Rickets Road",Mount Waverley,3149,-37.894308,145.133376999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Caring Support @ home,Prosperous S&G Pty Ltd,Home Care,Private Incorporated Body,"Unit 3, 28 Jarrah Drive",Braeside,3195,-38.0032539999999,145.109868,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
