stop_id,stop_name,latitude,longitude
11523,Kambrook Rd/Glen Eira Rd,-37.8812973,145.03380478
11524,Neerim Rd/Koornang Rd,-37.88892903,145.05706034
11525,Carnegie Station/Koornang Rd,-37.88591946,145.05762839
11526,Darling Rd/Princes Hwy,-37.88385608,145.05874005
11527,Oakleigh SC/Hanover St,-37.90077313,145.09191411
11528,Wayville Cl/Wells Rd,-38.03144379,145.13291629
11530,Police Rd/Wanda St,-37.93394275,145.16595922
11531,Suemar St/Wanda St,-37.93158787,145.16635908
11533,Briar Gr/Wanda St,-37.92691592,145.16727155
11534,Valewood Dr/Wanda St,-37.92436105,145.16698231
11535,Shaftsbury Dr/Wanda St,-37.9206574,145.16468527
11551,Mitcham Rd/Brunswick Rd,-37.8182024,145.19453627
11552,Creek Rd/Brunswick Rd,-37.81826064,145.19774986
11553,Brunswick Rd/Reserve Ave,-37.81869385,145.20014776
11554,Berry Ave/Reserve Ave,-37.82038835,145.20016341
11555,Garden Ave/Reserve Ave,-37.82175803,145.20015286
11556,Haverbrack Dr/Wellington Rd,-37.92361571,145.20042546
11557,Eastlink/Wellington Rd,-37.92545627,145.2147611
11558,Corporate Ave/Wellington Rd,-37.92643748,145.22123372
11559,Viewtech Pl/Wellington Rd,-37.92717675,145.22722311
11560,Stud Rd/Wellington Rd,-37.92770466,145.23176137
11561,Taylors Lane/Eildon Pde,-37.9180719,145.24628021
11562,Tyers Cres/Eildon Pde,-37.91841183,145.2497418
11602,Charman Rd/Weatherall Rd,-37.97243996,145.0537448
11603,Cheltenham Recreation Reserve/Weatherall Rd,-37.97212808,145.05123719
11604,Victor Ave/Weatherall Rd,-37.97154605,145.04657382
11605,Banool St/Weatherall Rd,-37.97107978,145.0429206
11606,Morey Rd/Weatherall Rd,-37.97074226,145.0399698
11607,Reserve Rd/Weatherall Rd,-37.97035564,145.03678128
11608,Tibbles St/Reserve Rd,-37.97173643,145.0358224
11609,Beaumaris North Primary School/Reserve Rd ,-37.97391076,145.0354343
11610,Balcombe Rd/Reserve Rd,-37.97691208,145.03492165
11611,Beaumaris Sec Col/Reserve Rd,-37.97831848,145.03441736
11612,Long Hollow Heathland/Reserve Rd,-37.98053746,145.03400521
11613,Beaumaris Community Centre/Reserve Rd,-37.98245133,145.03366949
11614,Triangle Gardens/Hampton St,-37.94174716,145.00167566
11615,Hampton Station/Hampton St,-37.93862048,145.00222688
11616,Willis St/Hampton St,-37.9368424,145.00259363
11617,Littlewood St/Hampton St,-37.93497366,145.00292867
11618,Hampton St/Holyrood St,-37.93383679,145.00284566
11619,St Marys PS/Holyrood St,-37.93348358,145.00009039
11624,Brighton PS/Male St,-37.91303826,145.00074661
11627,North Brighton Station/St Andrews St,-37.9056968,145.00145715
11666,Cross Rd/Embankment Gr,-38.04757292,145.11924193
11667,Baxter Ave/Embankment Gr,-38.0467102,145.12164569
11668,Chelbara General Store/Baxter Ave,-38.04460962,145.12215519
11669,Cross Rd/Ella Gr,-38.04417218,145.11903268
11671,Bayside Ave/Munro Ave,-38.04132916,145.1176355
11672,Fraser Ave/Munro Ave,-38.03915418,145.11631247
11673,Edithvale Rd/Munro Ave,-38.03684315,145.11493603
11680,Edithvale Bowls Club/Edithvale Rd,-38.0350381,145.11926638
11682,Wells Rd/Edithvale Rd,-38.028746,145.12987454
1174,Springfield Rd/Dorking Rd,-37.80882824,145.13259693
1175,Trawool St/Dorking Rd,-37.80592627,145.13315845
11771,George St/Argyle Way,-37.88878476,145.22476701
11789,Serrell St/Princes Hwy,-37.88434072,145.06189966
11790,Karma Ave/Princes Hwy,-37.8845322,145.06422559
11791,Belgrave Rd/Princes Hwy,-37.8844416,145.06638834
11792,Bruce St/Dandenong Rd,-37.88444265,145.07084553
11793,Alma St/Dandenong Rd,-37.88643348,145.07685418
11795,Hillcrest Rd/High St,-37.86257088,145.0730415
11797,Munro Ave/High St,-37.86293932,145.07628291
11799,Ashburton Station/High St,-37.86347347,145.08085001
11800,Victory Bvd/High St,-37.86381882,145.08323955
11801,Huntingdale Rd/Waverley Rd,-37.88253059,145.10962227
11802,Donald St/Waverley Rd,-37.88296883,145.11278338
11803,Hansen St/Waverley Rd,-37.88326405,145.11545924
11804,Heany St/Waverley Rd,-37.88346558,145.11735295
11805,Pamela St/Waverley Rd,-37.88380592,145.12003908
11806,Toirram Rd/Waverley Rd,-37.88401802,145.12203488
11807,Talbot Rd/Waverley Rd,-37.88434435,145.1244144
11808,Forster Rd/Waverley Rd,-37.88505964,145.13142331
11809,Bruce St/Waverley Rd,-37.8854292,145.13426801
11810,Scammell Cl/Waverley Rd,-37.88614448,145.14074269
11811,Meadow Cres/Waverley Rd,-37.88630312,145.14222828
